	userid	items_recommended
0	471	278,1429,1483,1443,1192,1159,1605,1598,1389,1400
1	463	449,1358,543,1512,1599,1642,947,1398,1643,814
2	833	368,1524,1367,1536,179,320,1643,1629,1405,1388
3	496	99,320,1240,1524,1282,1607,850,56,889,1005
4	148	14,867,408,1449,1599,1122,119,169,1398,483
5	540	449,867,1398,1636,1645,1650,1651,1122,119,814
6	392	449,814,1643,1599,119,867,1398,483,1358,318
7	243	449,1643,1642,1599,1398,1512,1193,814,543,1358
8	623	233,814,1599,1449,867,1064,626,318,1398,483
9	737	449,1524,1282,1643,119,1388,1368,320,56,1405
10	897	607,1293,1233,1467,1612,850,64,1651,1645,1650
11	858	14,1449,1347,318,50,867,119,408,1233,483
12	31	159,1368,1656,851,793,1104,1585,1245,1524,1298
13	516	642,1398,1449,1651,1645,1636,1650,1131,793,867
14	580	368,1268,320,169,114,1524,1449,1019,179,867
15	251	449,64,1467,119,318,867,12,814,1122,1398
16	451	607,1612,817,1233,1467,1294,1293,313,64,272
17	85	14,1449,867,1398,119,1643,1599,1122,408,483
18	137	278,1368,1500,1169,701,641,1483,169,1268,1491
19	808	449,1398,1645,1636,1651,1650,867,1642,1122,119
20	883	368,1650,1636,1645,1651,1449,867,1398,1062,1524
21	65	233,318,626,496,313,1358,1064,64,1594,22
22	458	643,1449,1405,814,851,867,1398,1558,119,1599
23	879	233,318,1358,64,272,1449,113,313,316,1607
24	481	14,867,1599,1449,1122,1398,408,119,1064,1233
25	53	449,814,1233,1599,1398,867,1122,626,1642,1064
26	804	69,1169,114,1467,1607,1347,50,701,867,1368
27	255	99,1240,1282,320,1607,42,1524,56,156,850
28	588	607,1431,817,1642,1293,1639,1131,1650,1645,1636
29	898	524,320,1368,1449,1645,1651,1650,1636,1607,889
30	799	449,357,1142,119,814,1347,12,178,127,483
31	472	607,1431,1019,1368,701,1293,1650,1645,1636,1651
32	133	368,867,169,641,1449,814,1650,1645,1636,1651
33	853	278,1169,814,867,1192,701,1483,1605,169,945
34	296	14,1449,1599,1643,119,867,483,1398,1358,318
